material_name,notes,pressure_rating_bar,pressure_rating_kpa,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
stainless_steel_316,"{""standard"":""ANSI/ASME B 31.1""}",300.8,30080,3066.258919,1533.12946,1022.086306,766.5647299,613.2517839,511.0431532,438.0369885,383.2823649,340.6954355,306.6258919,278.7508109,255.5215766,235.8660707,219.0184942,204.4172613,191.6411825,180.3681717,170.3477177,161.3820484,153.312946,146.0123295,139.3754054,133.3156052,127.7607883,122.6503568,117.9330354,113.5651452,109.5092471,105.7330662,102.2086306,98.91157805,95.82059123,92.91693695,90.18408587,87.6073977,85.17385887,82.87186269,80.6910242,78.62202358,76.65647299,74.78680291,73.00616475,71.30834696,69.68770272,68.1390871,66.6578026,65.23955148,63.88039416,62.57671264,61.32517839
pvc_sch-40,"{""standard"":""ASTM D2466 - 06""}",106.18,10618,1082.364934,541.1824669,360.7883112,270.5912334,216.4729867,180.3941556,154.623562,135.2956167,120.2627704,108.2364934,98.39681216,90.19707781,83.25884106,77.31178098,72.15766225,67.64780836,63.66852551,60.13138521,56.96657546,54.11824669,51.54118732,49.19840608,47.05934495,45.09853891,43.29459735,41.62942053,40.08759014,38.65589049,37.32292875,36.07883112,34.91499786,33.82390418,32.79893739,31.83426276,30.92471239,30.0656926,29.25310632,28.48328773,27.75294702,27.05912334,26.39914473,25.77059366,25.17127753,24.59920304,24.05255408,23.52967247,23.02904114,22.54926945,22.08908028,21.64729867
pvc_sch-80,"{""standard"":""ASTM D2467-04e1""}",151.69,15169,1546.279307,773.1396534,515.4264356,386.5698267,309.2558614,257.7132178,220.8970438,193.2849134,171.8088119,154.6279307,140.5708461,128.8566089,118.9445621,110.4485219,103.0852871,96.64245668,90.95760628,85.90440593,81.38312141,77.31396534,73.63234794,70.28542304,67.22953508,64.42830445,61.85117227,59.47228103,57.26960396,55.22426096,53.3199761,51.54264356,49.87997764,48.32122834,46.85694869,45.47880314,44.17940877,42.95220297,41.79133262,40.69156071,39.64818735,38.65698267,37.71412943,36.81617397,35.95998388,35.14271152,34.36176237,33.61476754,32.89955972,32.21415223,31.55672055,30.92558614
cpvc_sch-40,"{""standard"":""ASTM F441 / F441M - 02""}",84.05,8405,856.7787971,428.3893986,285.5929324,214.1946993,171.3557594,142.7964662,122.396971,107.0973496,95.19764413,85.67787971,77.88898156,71.3982331,65.90606132,61.19848551,57.11858648,53.54867482,50.39875277,47.59882206,45.0936209,42.83893986,40.79899034,38.94449078,37.25125205,35.69911655,34.27115189,32.95303066,31.73254804,30.59924276,29.54409645,28.55929324,27.63802571,26.77433741,25.96299385,25.19937639,24.4793942,23.79941103,23.15618371,22.54681045,21.96868711,21.41946993,20.89704383,20.39949517,19.92508831,19.47224539,19.03952883,18.62562602,18.22933611,17.84955827,17.48528157,17.13557594
cpvc_sch-80,"{""standard"":""ASTM F441 / F441M - 02""}",119.97,11997,1222.93578,611.4678899,407.6452599,305.733945,244.587156,203.82263,174.7051114,152.8669725,135.8817533,122.293578,111.17598,101.911315,94.07198306,87.3525557,81.52905199,76.43348624,71.93739881,67.94087666,64.36504104,61.14678899,58.23503713,55.58798999,53.17112086,50.95565749,48.91743119,47.03599153,45.29391777,43.67627785,42.1701993,40.76452599,39.44954128,38.21674312,37.05865999,35.96869941,34.94102228,33.97043833,33.05231837,32.18252052,31.35732769,30.5733945,29.82770195,29.11751857,28.44036697,27.793995,27.17635066,26.58556043,26.01991021,25.47782875,24.95787306,24.4587156
aluminium_7075,"{""thickness_inches"":0.065, ""reference"":""The Engineering ToolBox (2020). Aluminum Tubing - Allowable Pressures. [online] Available at: https://www.engineeringtoolbox.com/aluminum-tube-allowable-pressure-d_2183.html [Accessed 8 January 2024].""}",165.48,16548,1686.850153,843.4250765,562.2833843,421.7125382,337.3700306,281.1416922,240.9785933,210.8562691,187.4277948,168.6850153,153.3500139,140.5708461,129.7577041,120.4892966,112.4566769,105.4281346,99.22647958,93.71389738,88.781587,84.34250765,80.32619776,76.67500695,73.341311,70.28542304,67.47400612,64.87885203,62.47593159,60.24464832,58.16724665,56.22833843,54.41452106,52.71406728,51.1166713,49.61323979,48.19571865,46.85694869,45.59054467,44.3907935,43.25256802,42.17125382,41.14268666,40.16309888,39.22907332,38.33750348,37.48555895,36.6706555,35.89042879,35.14271152,34.42551332,33.73700306
